origins,destinations,path,free_flow_time
0,0,-25166682#0 -23648008#0 -297047307 22959550#0 22959550#1 22959550#3 22959550#4 28675510#1 23840713#0 23840971,1.2290064477914997
0,0,-25166682#0 -23648008#0 -297047307 -297047310#3 -297047310#2 186623965#15 22917421#5 -28675510#5 23840713#0 23840971,2.5410053438221945
0,0,-25166682#0 -23648008#0 -297047307 22959550#0 23647126 -8716807#5 -8716807#4 -8716807#0 28675510#0 28675510#1 23840713#0 23840971,1.6964987578904853
0,1,-25166682#0 -23648008#0 -297047307 -297047310#3 -297047310#2 -186623965#14,1.0244180465562756
0,1,-25166682#0 23648008#1 -23648008#1 -23648008#0 -297047307 -297047310#3 -297047310#2 -186623965#14,1.078053755699544
0,1,-25166682#0 -23648008#0 -297047307 297047310#4 -297047307 -297047310#3 -297047310#2 -186623965#14,1.1567914566834654
1,0,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 133081985#0 133081985#1 28675510#0 28675510#1 23840713#0 23840971,0.8632832254572094
1,0,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 -309744810#1 133081987#3 133081985#0 133081985#1 28675510#0 28675510#1 23840713#0 23840971,1.103060043311781
1,0,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 23283435#1 -23283579#1 -23283579#0 28675510#0 28675510#1 23840713#0 23840971,1.8368013440077258
1,1,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 133081985#0 133081985#1 28675510#0 28675510#1 28675510#4 -22917421#14 -186623965#16 -186623965#14,2.145828785077746
1,1,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 23283435#1 -23283579#1 -23283579#0 28675510#0 28675510#1 28675510#4 -22917421#14 -186623965#16 -186623965#14,3.1193469036282626
1,1,-4936412 23686088#0 23686088#1 133081987#0 133081987#3 133081985#0 133081985#1 28675510#0 28675510#1 -28675510#3 28675510#1 28675510#4 -22917421#14 -186623965#16 -186623965#14,2.4086197617996086
